lettera,titolo,title,descrizione,Testo,sottotitolo
1,Una lettera,,"Una singola lettera diviene protagonista dell’immagine.
Una riflessione che riporta all’origine della scrittura, alle tecniche della moltiplicazione del testo; dalle incisioni rupestri all’evoluzione dei diversi linguaggi, da Gutenberg al mondo della comunicazione contemporanea via chat. ",,""
2,Un numero,,"Protagonista un qualsiasi numero.
Una piccola porzione di paesaggio, un pensiero dedicato ad un altro fondamentale linguaggio della società e della storia umana, il cui sviluppo ha condizionato e condiziona, o regola, la scienza e l’economia, aldilà della stessa vita quotidiana. ",,""
3,La Cassetta degli attrezzi,,"La cassetta degli attrezzi come metafora di tutte le conoscenze che ognuno, dentro di sé, costruisce con il tempo. Un sistema operativo della mente che consente, di interfacciarsi con il presente e di interpretarlo in ogni istante della vita .",,""
4,L'aprirsi di un varco,,"La storia di un limite più o meno valicabile, un viaggio sull’attraversamento … una fenditura, una demarcazione di luce ed ombra, passaggio per  un’altra dimensione. L'impercettibile linea di confine tra uno spazio e l’altro.",,Un'idea di soglia
5,"Una foto, una storia",,"Una dedica al maestro più seguito, apprezzato e amato.
Una sottolineatura sull’importanza dei riferimenti, ma anche sul luogo del possibile incontro: la pagina di un libro, una rivista, un oggetto o la schermata di un sito trovata in internet.
",,Omaggio ad un designer o un architetto
6,La retorica in casa,,Uno scatto per prendere coscienza di un intero e complesso sistema culturale nascosto dietro l’apparenza del luogo comune. A volte un inconscio modus operandi del pensiero.,,""
7,L’isola che c’è,,"Il rapporto uomo-natura oggi. In un mondo sempre più tecnologicizzato esiste un luogo dove trovare un’oasi, un rapporto diretto con la natura?
Il riferimento alla sequenza di Ghirri: “Colazione sull’erba” con i suoi ovvi rimandi al dipinto di Manet “Le déjeuner sur l’herbe” è puramente non casuale.
",,""
8,No frost,,"L’avventura, in un’immagine, nel mondo delle scorte alimentari che raccontano di abitudini, di logiche nella “sistemazione”, tra ordine assoluto e inserimento casuale degli oggetti, ma anche di scelte o modi di vivere: vegetariana, da single o di famiglie numerose …",,Viaggio dentro un frigorifero
9,Totem e Tabù,,"Esistono luoghi dove, fin dall’infanzia, l’accesso era interdetto, o di cui si ha ancora  timore?
Nell’antichità esisteva uno spazio dedicato alle divinità protettrici della casa e della famiglia. Esistono, e quali sono oggi, luoghi legati ai ricordi? Spazi sospesi tra affetti e angeli protettori?
",,"Il luogo del mistero o di una qualche ritualità
"
10,Ma il cielo è sempre più blu,,"Partendo dalla nota canzone di Rino Gaetano uno scatto dedicato al cielo. 
Nella storia della fotografia: sono famosi i precedenti di autori importanti come: gli Equivalents di Alfred Stieglitz, la Verifica n° 5 - L’Ingrandimento di Ugo Mulas, oppure ∞ Infinito di Luigi Ghirri.
",,""
11,Fra le braccia di Morfeo,,"Il luogo dell’abbandono temporaneo delle difese, del rilassamento e della perdita temporanea dello stato cosciente. ",,Il riposo del guerriero
12,I cassetti della memoria,,"Il ricordo come indica la parola stessa significa portare nel cuore. Wim Wenders ha parlato del termine re-garder spiegando come la sua etimologia comprenda l’idea di uno sguardo che assolve il compito di fare la guardia inteso come un prendersi cura, ed evitare la perdita della memoria di una realtà.",,La scatola dei ricordi
13,Mosca cieca,,Imparare ad ascoltare il luogo in cui ci si trova per capire come sia possibile crearsi un’idea dell’ambiente che ci circonda. Le condizioni della mancanza di luce o la cecità portano a rapportarsi con lo spazio circostante amplificando l’attenzione sulle informazioni fornite dagli altri sensi. ,,"Uno scatto, una luce nel buio"
14,Dalla mia finestra,,"Nella storia della fotografia questo tema è stato spesso oggetto di attenzione e di molteplici riprese da parte di grandi fotografi, a partire dal primo scatto di Nicéphore Niépce, seguito poi da quello altrettanto celebre di J.L.M. Daguerre su Boulevard du Temple.",,"Lo sguardo quotidiano.
Oltre gli ostacoli, come nell’”Infinito” di Giacomo Leopardi
"
15,E guardo il mondo da un oblò,,"Dal testo di una canzone di Gianni Togni del 1980.
Un altro tipo di sguardo che si rivolge verso l’interno della casa.
Il tema su cui riflettere è se possa esistere un “listino” delle cose “belle” che “bisogna” fotografare. Viceversa brandelli di normalità raccontano altre interessanti storie.
",,E guardo il mondo da un oblò
16,Che ore sono?,,"La dimensione tempo vissuta nel quotidiano.
Le sfere di un tradizionale orologio, un’ombra sul muro, un display digitale? Quale quadrante ci restituisce, nella vita normale, la percezione del tempo che passa, dalla clessidra allo Swatch, dalla meridiana allo schermo dello smartphone.
",,Che ore sono?
17,L’uomo è ciò che mangia,,"L’espressione è di Ludwig Feuerbach e indica il fondamento di una concezione profondamente materialista dell’uomo. Potremmo rivisitarla oggi, che riprendere il cibo è diventato quasi una moda, aggiungendo un “anche” che ne modifica profondamente il senso: “L’uomo è anche ciò che mangia”.",,L’uomo è ciò che mangia
18,Uno sfondo per il mio desktop o il mio smartphone,,"Spesso, della fotografia scelta come sfondo, non si considera l’aspetto percettivo che, comunque, deve consentire una rapida visualizzazione delle icone presenti.
Da notare come anche l’uso in orizzontale o verticale del device non sia così scontato.
",,Uno sfondo per il mio desktop o il mio smartphone
19,Il mio compasso d’oro,,"Una fotografia scattata, come il più classico degli Still-life, all’oggetto di design che più apprezzo, che mi ha colpito, che ammiro o che uso.
Dall’oggetto progettato da un famoso designer all’infinita serie di oggetti che si possono definire di design anonimo.
",,Il mio compasso d’oro
20,Alice nel paese delle meraviglie,,"L’immagine di un mondo in miniatura, tra sogno e realtà, che permetta di rivivere quei momenti in cui abbiamo immaginato di giocare a … ricreando emozioni tali da riscoprire ricordi che si credevano perduti, come Marcel Proust all’interno della sua “Recherche”.",,Alice nel paese delle meraviglie
21,La fine del viaggio,,"Un’immagine pensata, a partire dall’ultima schermata dei videogiochi, che ci riporta alla fine del nostro viaggio o giornata.",,Game over – La fine del viaggio – Il ritorno a casa
22,Arte domestica ,,"Uno scatto che racconti di un’opera originale, o della riproduzione di un quadro famoso, che si trova ad essere presente tra le nostre mura domestiche. Il racconto di una storia di cornici e ambienti dove, per esempio, una Notte stellata di Van Gogh può rivivere sulle pareti di una cucina…",,Arte domestica
23,Lo spazio della musica,,"Un immagine che descrive l’ambito, il luogo, l’angolo preferito per ascoltare la musica.
Un mondo dove si possono trovare anche strumenti, spartiti, impianti o raccolte di vinili …
Un altro varco per la ricerca dell’armonia.
",,Lo spazio della musica
24,Tra Edipo e Narciso,,"Uno scatto “self-portrait” come un’immagine per il profilo su Fb o Instagram.
Viaggio tra le possibili scelte di svelare o nascondere, tra luce ed ombra, dettagli o insiemi; dando spazio al contesto oppure no.
",,Tra Edipo e Narciso - Un selfie per il mio profilo
25,L’arte del backstage,,"L’immagine di un “dietro le quinte”, analisi, racconto, presa di coscienza della realtà “messa in scena”. ",,L’arte del backstage
26,Fotomessaggio in bottiglia,,"Lettera ad uno sconosciuto che, invece di leggere delle parole, aprendo la “bottiglia virtuale” di un messaggio troverà un’immagine, una fotografia che rappresenta, forse, qualcosa che noi oggi vogliamo salvare, o la promessa di un qualcosa raggiungibile… ",,Fotomessaggio in bottiglia